Wall time,Step,Value
1673450584.7083173,172,0.030715228989720345
1673450620.701528,244,0.02460993081331253
1673450624.3946974,259,0.030574429780244827
1673450659.5983346,402,0.02659415453672409
1673450693.4216273,465,0.026702530682086945
1673450704.51347,510,0.025975413620471954
1673450711.4202828,538,0.023303626105189323
1673450715.8612654,556,0.02481037937104702
1673450725.7211592,596,0.01664603129029274
1673450759.388926,658,0.018155992031097412
1673450785.51735,764,0.021244339644908905
1673450795.3722103,804,0.015802038833498955
1673450828.7301471,866,0.01775774359703064
1673450868.189418,1026,0.019532442092895508
1673450870.9035618,1037,0.018015652894973755
1673450911.1357384,1125,0.014957619830965996
1673450912.8593142,1132,0.018665660172700882
1673450920.7568867,1164,0.018803687766194344
1673450925.6893258,1184,0.020168209448456764
1673450942.4504008,1252,0.020128466188907623
1673450965.4458547,1271,0.017912641167640686
1673451001.5298054,1417,0.016288846731185913
1673451011.6615775,1458,0.0163593553006649
1673451038.9436805,1494,0.01737852394580841
1673451042.910957,1510,0.013459451496601105
1673451052.3096292,1548,0.017057523131370544
1673451056.5296388,1565,0.0170879065990448
1673451082.5624428,1670,0.01629249006509781
1673451186.0802643,1940,0.015925560146570206
1673451191.0183783,1960,0.016720112413167953
1673451345.623259,2436,0.013950970023870468
1673451346.8625307,2441,0.017144855111837387
1673451352.07264,2462,0.014635398052632809
1673451362.2319539,2503,0.01800248771905899
1673451399.067318,2577,0.015369106084108353
1673451415.442817,2643,0.012896010652184486
1673451425.6310062,2684,0.01644524745643139
1673451427.8630466,2693,0.011867035180330276
1673451431.5770726,2708,0.013589134439826012
1673451433.8008263,2717,0.0136121129617095
1673451464.8685293,2768,0.01600130833685398
1673451533.970999,2973,0.0173005573451519
1673451561.154638,3083,0.015722302719950676
1673451566.3406534,3104,0.015253925696015358
1673451566.5878623,3105,0.01587567664682865
1673451576.4684892,3145,0.016408367082476616
1673451612.7981277,3217,0.01741708815097809
1673451618.7481422,3241,0.015157515183091164
1673451624.6864345,3265,0.014824502170085907
1673451647.230243,3356,0.013704423792660236
1673451701.3381534,3500,0.017808225005865097
1673451717.648439,3566,0.013229439966380596
1673451744.502728,3600,0.014456724748015404
1673451748.4603577,3616,0.012784233316779137
1673451757.8530214,3654,0.016394048929214478
1673451761.3090696,3668,0.014273231849074364
1673451762.05071,3671,0.01535542868077755
1673451772.185806,3712,0.0151103176176548
1673451789.4933522,3782,0.014446658082306385
1673451824.2556357,3848,0.01235777698457241
1673451840.827727,3915,0.01481375377625227
1673451886.0018432,4023,0.01520979031920433
1673451907.2666867,4109,0.01711871847510338
1673451910.230269,4121,0.013773328624665737
1673451925.05772,4181,0.013931178487837315
1673451927.778378,4192,0.013297120109200478
1673451954.848598,4227,0.014169612899422646
1673451977.3603425,4318,0.015002809464931488
1673451979.8290856,4328,0.013801375404000282
1673452050.4624488,4539,0.015338375233113766
1673452056.6385932,4564,0.012476405128836632
1673452095.7156062,4649,0.01914425939321518
1673452105.8473551,4690,0.015300478786230087
1673452140.9402955,4832,0.015130512416362762
1673452141.9271536,4836,0.016322370618581772
1673452171.6731224,4882,0.01323789358139038
1673452241.469138,5090,0.014525996521115303
1673452251.859931,5132,0.015593228861689568
1673452252.8538246,5136,0.01586916297674179
1673452265.4563367,5187,0.014114877209067345
1673452268.6669712,5200,0.014920931309461594
1673452283.995562,5262,0.014319655485451221
1673452310.518964,5295,0.015096264891326427
1673452327.083571,5362,0.012007739394903183
1673452337.225875,5403,0.013311812654137611
1673452349.825181,5454,0.014637554995715618
1673452420.8299532,5667,0.01709369197487831
1673452479.9751427,5832,0.012536818161606789
1673452488.3701212,5866,0.012191053479909897
1673452491.578012,5879,0.015995165333151817
1673452528.941039,5956,0.01233698520809412
1673452535.1153352,5981,0.012773731723427773
1673452539.0670893,5997,0.012376384809613228
1673452552.9010816,6053,0.012838128954172134
1673452567.2375731,6111,0.016139687970280647
1673452591.9837172,6138,0.011843528598546982
1673452592.9717803,6142,0.013551175594329834
1673452613.4570055,6225,0.01295938715338707
1673452626.784512,6279,0.012215305119752884
1673452658.1971867,6332,0.012696553952991962
1673452658.6910515,6334,0.011270719580352306
1673452664.623605,6358,0.014388558454811573
1673452664.8708723,6359,0.014957515522837639
1673452667.3404746,6369,0.015576353296637535
1673452734.9750388,6569,0.011680817231535912
1673452738.9282,6585,0.013712628744542599
1673452740.1633685,6590,0.012728692963719368
1673452742.3872197,6599,0.013928269036114216
1673452774.7377856,6730,0.011383436620235443
1673452779.6749365,6750,0.013148799538612366
1673452810.8896546,6802,0.011947397142648697
1673452822.7549462,6850,0.01152463722974062
1673452839.8073864,6919,0.01413792185485363
1673452876.0614192,6991,0.01629336178302765
1673452877.2976148,6996,0.015780780464410782
1673452891.6273649,7054,0.012759041041135788
1673452959.07765,7253,0.01456539612263441
1673453022.6375418,7436,0.01365530863404274
1673453029.550481,7464,0.011714005842804909
1673453030.5383704,7468,0.012264569289982319
1673453049.0642471,7543,0.012619830667972565
1673453082.4455144,7604,0.013678526505827904
1673453092.369497,7644,0.012907243333756924
1673453112.9407146,7727,0.011298326775431633
1673453113.6856534,7730,0.012914583086967468
1673453120.1285357,7756,0.012356868013739586
1673453129.5260618,7794,0.014031418599188328
1673453154.8098948,7821,0.01020125113427639
1673453163.2290819,7855,0.015923690050840378
1673453195.5934224,7986,0.014593055471777916
1673453247.3094935,8122,0.012169158086180687
1673453307.5558255,8291,0.012327276170253754
1673453389.5316796,8548,0.01160904485732317
1673453391.0143917,8554,0.015952108427882195
1673453406.8378346,8618,0.012407312169671059
1673453435.424763,8659,0.012765862047672272
1673453444.110341,8694,0.013628469780087471
1673453451.5225637,8724,0.012747574597597122
1673453458.4392703,8752,0.013990474864840508
1673453464.3662505,8776,0.01288442313671112
1673453464.8604176,8778,0.013094117864966393
1673453475.968738,8823,0.011585157364606857
1673453478.440177,8833,0.015106741338968277
1673453505.8944385,8870,0.012881672009825706
1673453507.6241028,8877,0.013432564213871956
1673453552.3602116,9058,0.011077143251895905
1673453586.319485,9121,0.01434839516878128
1673453594.0253286,9152,0.012274844571948051
1673453618.7042153,9252,0.01189366914331913
1673453646.7749474,9291,0.013353439047932625
1673453655.709347,9327,0.012666366063058376
